   0.00000000       0.00000000       0.00000000    
  0.261799395      0.258819044      0.261799365    
  0.523598790      0.500000000      0.523598790    
  0.785398185      0.707106769      0.785398185    
   1.04719758      0.866025448       1.04719770    
   1.30899704      0.965925872       1.30899715    
   1.57079637       1.00000000       1.57079625    
   1.83259583      0.965925813       1.30899692    
   2.09439516      0.866025388       1.04719758    
   2.35619450      0.707106769      0.785398185    
   2.61799407      0.499999821      0.523598552    
   2.87979341      0.258818924      0.261799246    
   3.14159274      -8.74227766E-08  -8.74227766E-08
   3.40339208     -0.258819073     -0.261799395    
   3.66519165     -0.500000179     -0.523598969    
   3.92699075     -0.707106709     -0.785398066    
   4.18879032     -0.866025448      -1.04719770    
   4.45058966     -0.965925872      -1.30899715    
   4.71238899      -1.00000000      -1.57079625    
   4.97418833     -0.965925813      -1.30899692    
   5.23598814     -0.866025209      -1.04719722    
   5.49778748     -0.707106531     -0.785397828    
   5.75958681     -0.499999762     -0.523598492    
   6.02138567     -0.258819282     -0.261799634    
   6.28318548       1.74845553E-07   1.74845553E-07
