           1  -1.00000000    
           2 -0.965925872    
           3 -0.965925813    
           4 -0.866025448    
           5 -0.866025209    
           6 -0.707106709    
           7 -0.707106531    
           8 -0.500000179    
           9 -0.499999762    
          10 -0.258819282    
          11 -0.258819073    
          12  -8.74227766E-08
          13   0.00000000    
          14   1.74845553E-07
          15  0.258818924    
          16  0.258819044    
          17  0.499999821    
          18  0.500000000    
          19  0.707106769    
          20  0.707106769    
          21  0.866025388    
          22  0.866025448    
          23  0.965925813    
          24  0.965925872    
          25   1.00000000    
